item,value
revisaron,3
atribuimos,1
han cumplido,2
cumplido,3
sé,6
también tuvo,1
denunciándolo,1
ocupar,2
surgió,1
opuso,5
finalmente materializaron,1
materializaron,1
utilizando,6
reconoce,109
pusieran,1
enteró,11
saber,17
comunicó,11
habían cumplido,1
quedando,11
averiguar,15
diagrama,1
mercedes,3
rojas,2
mendoza383,1
denuncia,103
andrea,2
fueron sorprendidos,13
sorprendidos,13
fuera acompañar,1
acompañar,2
encontramos,3
estaban ahí incluyendo,1
ahí incluyendo,1
incluyendo,2
estaban consumiendo,1
consumiendo,1
quisieron,1
percataron,1
desenfundando,1
enteramos,1
diéramos,2
enuncie,1
llegue,3
acompañaron,1
iba hacer,4
no iba hacer,1
iba hacer era,1
hacer era,1
iba hacer era llevar,1
hacer era llevar,1
era llevar,1
llevar,16
voló,1
recibieron,17
no quiero,1
quiero,1
quiero decir,1
no quiero decir,1
estuvieran,1
sucedieron,35
no había sido,1
había sido comentado,1
sido comentado,1
comentado,1
no había sido comentado,1
hubiese,1
hubiese sucedido,1
sucedido,3
estaba atacando,1
atacando,1
haya sucedido,1
cree,3
están haciendo,1
raickard,2
fueron encontrados,13
encontrados,13
pernoctando,1
atado,2
acceder,12
pasamos,1
entrar ahí no encontramos,1
ahí no encontramos,1
no encontramos,1
había caído,1
caído,1
dimos,6
procedimos,1
ahí dimos,1
quedé,1
sacamos,9
dispare,4
allá también procedieron,1
también procedieron,1
colocó,4
demostrar,3
toco,2
toco matarlo,1
tuvieron,24
llevarnos,1
iba avisar,1
avisar,2
había violado,2
violado,2
estuvieron,7
llevamos,7
dirigimos,2
estaba huyendo,1
damos,2
roberto,8
barraza,5
interrogaron,4
sometido,7
introdujeron,4
rompió,1
posteriormente pintaron,1
pintaron,2
hurtar ganado,1
ganado,3
cometimos,1
reunimos,1
no tengo,4
tengo,5
torturamos,1
disparamos,2
fuimos,2
voy,1
vamos,5
traemos,1
asesinamos,2
pintar,1
hacíamos,1
habían metido,2
metido,2
dispara,2
empujamos,1
dejamos,2
identificado,7
muestra,3
dejando,87
cobrar,3
estaba robando,2
robando,4
estaban robando,1
ubica,5
dirijo,2
queda,6
asesino,1
muere,5
dejo,2
entro,1
asegurarlo,1
andaba,1
andaba robando,1
acepto,19
ratifico,3
seguidamente fueron,1
fueron llevados,1
llevados,4
seguidamente fueron llevados,1
admitió,2
desplazamos,2
abrimos,1
entramos,2
no estuvo,1
alias,10
habían hecho,6
asesinaran,6
no recuerdo,8
recuerdo,8
eran eran,1
todavía eran,1
jorge,1
jorge ignacio,1
ignacio,1
asesinen,2
quedamos,1
no sé,3
habían robado,2
cataño llevamos,1
amarramos,1
pateamos,1
acompañe,1
resiste,1
había tenido,2
tenido,14
habían hurtado,2
hurtado,6
informaron,11
cometieron,9
cataño roberto,1
practicada,3
noticiando,1
eran acusados,1
acusados,3
había desertado,1
desertado,2
participe,1
no dispare,1
dispare preste,1
preste,1
no dispare preste,1
admito,1
salió huyendo,1
también era,2
boletear,1
acepte,1
escapó,1
procedí,1
metimos,1
ahí asesinamos,1
va,8
ortiz,23
manda,1
metemos,1
pega,1
quita,3
pudieron,7
pudieron asesinar,1
recomienda,1
ya lleva,1
lleva,13
descargaran,1
quedo,1
quedo afuera,1
afuera,2
creo,1
hicimos,3
había invadido,1
invadido,2
escoge,1
saliendo,4
sorprende,1
tira,3
di,1
movilizábamos,1
asesine,2
entra,3
pone,11
disparo pido,1
pido,1
sufrido,5
pelaez,2
pelaez ortiz,1
fallecieron,1
cursa,4
seguida,2
llego,4
metí,1
manifestó acepto,1
encontraban,8
encontraban empacando,1
empacando,1
cástulo,1
informo,3
conocí,2
hechos,5
rodeamos,1
existe,3
esclarecer,1
enrique,8
ser señalados,3
señalados,7
manifestó fui,1
fui,5
coordino,1
eran atracadas,1
atracadas,1
fui ordene,1
ordene,1
dieran,1
anduviesen,1
esperaran,1
ahí eran,1
arrojarse,1
mirando,2
conjunta,1
fornaris,3
luís,7
suministró,3
enviada,2
asaltaron,1
fueron asesinadas,13
asesinadas,14
hablo,2
mostró,2
ahí entramos,1
hicimos tirar,1
tirar,1
salimos,1
araque,17
renis,1
matarlos,1
adelantó,7
yurek araque,1
personalmente dio,1
añade,1
aportada,1
señalara,1
señalara fueron,1
señalara fueron asesinados,1
luego robar,1
robar,1
vieron,39
vieron intentaron,1
intentaron,1
